question,option_a,option_b,option_c,option_d,correct_answer,incorrect_answer,study_area
Which region is famous for Sauvignon Blanc in NZ?,Central Otago,Marlborough,Hawke's Bay,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Grapes
What aroma is classic in aged Riesling?,Banana,Peppercorn,Petrol/honey,Pinot Noir,C,Close! Swirl the glass and give it another go.,Grapes
What does Giuseppe say the swirl is for?,Letting aromas dance,Hypnotizing your date,Counting the legs,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
Beaujolais is mostly made from which grape?,Gamay,Pinot Noir,Syrah,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Which region produces Chablis?,Loire Valley,Burgundy,Rhone,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,Rosé,A,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,Albariño,C,Close! Swirl the glass and give it another go.,Styles
Best wine for a long talk at sunset?,Super Tuscan monster,Pinot Noir,Tequila… not wine!,Port,B,Close! Swirl the glass and give it another go.,Styles
Grüner Veltliner often shows…,Coffee,White pepper,Coconut,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Which grape is classic in Châteauneuf-du-Pape?,Grenache,Touriga Nacional,Pinotage,Chianti Classico,A,Close! Swirl the glass and give it another go.,Grapes
Which region is famous for Malbec?,Burgundy,Rioja,Mendoza,Muscadet,C,Close! Swirl the glass and give it another go.,Grapes
Giuseppe’s rule on ice in wine?,Do what you love,Never ever!,Only in Champagne,Port,A,Close! Swirl the glass and give it another go.,Styles
Provence Rosé is usually…,Pale and dry,Deep and sweet,Fortified,Barolo,A,Close! Swirl the glass and give it another go.,Regions and Appellations
